entry_id,co2_ppm,ch4_ppm,created_at,tiempo_min
3728,820,816.09375,2025-09-17T13:22:40-05:00,0
3729,855,858.28131,2025-09-17T13:23:10-05:00,0.5
3730,895,894.14069,2025-09-17T13:23:40-05:00,1
3731,921,918.74994,2025-09-17T13:24:23-05:00,1.7166666666666666
3732,956,959.53137,2025-09-17T13:24:53-05:00,2.216666666666667
3733,990,989.0625,2025-09-17T13:25:23-05:00,2.716666666666667
3734,1028,1029.14075,2025-09-17T13:25:53-05:00,3.216666666666667
3735,1065,1064.29688,2025-09-17T13:26:24-05:00,3.7333333333333334
3736,1100,1099.45325,2025-09-17T13:26:54-05:00,4.233333333333333
3737,1139,1138.12512,2025-09-17T13:27:23-05:00,4.716666666666667
3738,1174,1174.68738,2025-09-17T13:27:54-05:00,5.233333333333333
3739,1205,1203.51563,2025-09-17T13:28:24-05:00,5.733333333333333
3740,1251,1251.32825,2025-09-17T13:28:54-05:00,6.233333333333333
3741,1282,1280.85938,2025-09-17T13:29:24-05:00,6.733333333333333
3742,1326,1325.15625,2025-09-17T13:29:54-05:00,7.233333333333333
3743,1368,1368.047,2025-09-17T13:30:24-05:00,7.733333333333333
3744,1410,1411.64075,2025-09-17T13:30:54-05:00,8.233333333333333
3745,1454,1455.93762,2025-09-17T13:31:24-05:00,8.733333333333333
3746,1495,1494.6095,2025-09-17T13:31:54-05:00,9.233333333333333
3747,1545,1545.93762,2025-09-17T13:32:24-05:00,9.733333333333333
3748,1584,1588.12488,2025-09-17T13:32:54-05:00,10.233333333333333
3749,1631,1632.42188,2025-09-17T13:33:27-05:00,10.783333333333333
3750,1675,1674.60938,2025-09-17T13:33:57-05:00,11.283333333333333
3751,1720,1722.422,2025-09-17T13:34:24-05:00,11.733333333333333
3752,1765,1768.125,2025-09-17T13:34:54-05:00,12.233333333333333
3753,1807,1808.20313,2025-09-17T13:35:24-05:00,12.733333333333333
3754,1845,1846.172,2025-09-17T13:35:55-05:00,13.25
3755,1882,1884.14063,2025-09-17T13:36:24-05:00,13.733333333333333
3756,1921,1921.40637,2025-09-17T13:36:54-05:00,14.233333333333333
3757,1952,1950.23425,2025-09-17T13:37:24-05:00,14.733333333333333
3758,1989,1989.60938,2025-09-17T13:37:54-05:00,15.233333333333333
3759,2035,2037.422,2025-09-17T13:38:27-05:00,15.783333333333333
3760,2082,2085.23437,2025-09-17T13:38:55-05:00,16.25
3761,2128,2130.23438,2025-09-17T13:39:24-05:00,16.733333333333334
3762,2179,2182.26562,2025-09-17T13:39:55-05:00,17.25
3763,2226,2228.67187,2025-09-17T13:40:24-05:00,17.733333333333334
3764,2279,2284.21875,2025-09-17T13:40:55-05:00,18.25
3765,2320,2324.29663,2025-09-17T13:41:26-05:00,18.766666666666666
3766,2372,2374.21899,2025-09-17T13:41:55-05:00,19.25
3767,2421,2422.73438,2025-09-17T13:42:25-05:00,19.75
3768,2470,2475.46875,2025-09-17T13:42:55-05:00,20.25
3769,2226,2130.23438,2025-09-17T13:43:26-05:00,20.766666666666666
3770,1539,1490.39063,2025-09-17T13:43:55-05:00,21.25
3771,952,940.54687,2025-09-17T13:44:25-05:00,21.75
3772,913,911.01556,2025-09-17T13:44:55-05:00,22.25
3773,927,925.78131,2025-09-17T13:45:25-05:00,22.75
3774,944,941.25006,2025-09-17T13:45:55-05:00,23.25
3775,966,967.26575,2025-09-17T13:46:25-05:00,23.75
3776,1032,1036.87512,2025-09-17T13:46:55-05:00,24.25
3777,1115,1121.25,2025-09-17T13:47:26-05:00,24.766666666666666
3778,1207,1211.25,2025-09-17T13:47:55-05:00,25.25
3779,1289,1295.62512,2025-09-17T13:48:25-05:00,25.75
3780,1363,1367.34375,2025-09-17T13:48:55-05:00,26.25
3781,1438,1441.875,2025-09-17T13:49:25-05:00,26.75
3782,1502,1504.45313,2025-09-17T13:49:55-05:00,27.25
