entry_id,co2_ppm,ch4_ppm,created_at,tiempo_min
3156,1983,1979.0625,2025-09-09T10:55:33-05:00,0
3157,1968,1952.34387,2025-09-09T10:56:03-05:00,0.5
3158,1716,1697.8125,2025-09-09T10:56:34-05:00,1.0166666666666666
3159,1676,1672.5,2025-09-09T10:57:03-05:00,1.5
3160,1669,1668.28113,2025-09-09T10:57:33-05:00,2
3161,1664,1660.54675,2025-09-09T10:58:03-05:00,2.5
3162,1662,1661.95313,2025-09-09T10:58:33-05:00,3
3163,1671,1666.875,2025-09-09T10:59:03-05:00,3.5
3164,1665,1662.65637,2025-09-09T10:59:34-05:00,4.016666666666667
3165,1657,1654.922,2025-09-09T11:00:03-05:00,4.5
3166,982,979.21875,2025-09-09T15:19:43-05:00,264.1666666666667
3167,963,954.6095,2025-09-09T15:20:13-05:00,264.6666666666667
3168,894,888.51563,2025-09-09T15:20:43-05:00,265.1666666666667
3169,992,1006.64056,2025-09-09T15:21:13-05:00,265.6666666666667
3170,1008,983.43744,2025-09-09T15:21:43-05:00,266.1666666666667
3171,997,984.84381,2025-09-09T15:22:13-05:00,266.6666666666667
3172,996,996.09369,2025-09-09T15:22:43-05:00,267.1666666666667
3173,1019,1017.18744,2025-09-09T15:23:13-05:00,267.6666666666667
3174,1081,1097.34375,2025-09-09T15:23:43-05:00,268.1666666666667
3175,1277,1296.32813,2025-09-09T15:24:14-05:00,268.68333333333334
3176,1556,1592.34375,2025-09-09T15:24:43-05:00,269.1666666666667
3177,1985,2042.34387,2025-09-09T15:25:13-05:00,269.6666666666667
3178,2603,2659.68774,2025-09-09T15:25:43-05:00,270.1666666666667
3179,3221,3284.06274,2025-09-09T15:26:13-05:00,270.6666666666667
3180,3792,3843.04712,2025-09-09T15:26:43-05:00,271.1666666666667
3181,4293,4342.96875,2025-09-09T15:27:13-05:00,271.6666666666667
3182,4738,4778.20312,2025-09-09T15:27:43-05:00,272.1666666666667
3183,5076,5106.5625,2025-09-09T15:28:13-05:00,272.6666666666667
3184,5644,5669.76562,2025-09-09T15:28:43-05:00,273.1666666666667
3185,5890,5918.67187,2025-09-09T15:29:13-05:00,273.6666666666667
3210,855,844.21869,2025-09-09T15:41:44-05:00,286.18333333333334
3211,799,793.59381,2025-09-09T15:42:14-05:00,286.68333333333334
3212,787,783.75012,2025-09-09T15:42:44-05:00,287.18333333333334
3213,870,928.59387,2025-09-09T15:43:14-05:00,287.68333333333334
3214,1021,1001.01575,2025-09-09T15:43:44-05:00,288.18333333333334
3215,944,939.14075,2025-09-09T15:44:14-05:00,288.68333333333334
3216,882,874.45325,2025-09-09T15:44:44-05:00,289.18333333333334
3217,900,896.25,2025-09-09T15:45:14-05:00,289.68333333333334
3218,944,953.20312,2025-09-09T15:45:44-05:00,290.18333333333334
3219,1100,1108.59375,2025-09-09T15:46:14-05:00,290.68333333333334
3220,1219,1228.12512,2025-09-09T15:46:44-05:00,291.18333333333334
3221,1352,1364.53125,2025-09-09T15:47:14-05:00,291.68333333333334
3222,1484,1493.90625,2025-09-09T15:47:44-05:00,292.18333333333334
3223,1607,1617.65625,2025-09-09T15:48:14-05:00,292.68333333333334
3224,1732,1742.10938,2025-09-09T15:48:44-05:00,293.18333333333334
3225,1844,1853.20312,2025-09-09T15:49:14-05:00,293.68333333333334
3226,1950,1961.48438,2025-09-09T15:49:44-05:00,294.18333333333334
3227,2058,2065.54687,2025-09-09T15:50:14-05:00,294.68333333333334
3228,2169,2179.45312,2025-09-09T15:50:44-05:00,295.18333333333334
3229,2280,2287.03149,2025-09-09T15:51:14-05:00,295.68333333333334
3230,2391,2400.93774,2025-09-09T15:51:44-05:00,296.18333333333334
3231,2502,2512.03125,2025-09-09T15:52:14-05:00,296.68333333333334
3232,2616,2629.45312,2025-09-09T15:52:44-05:00,297.18333333333334
3233,2737,2744.76562,2025-09-09T15:53:14-05:00,297.68333333333334
3234,2851,2860.78149,2025-09-09T15:53:45-05:00,298.2
3235,2959,2966.95312,2025-09-09T15:54:14-05:00,298.68333333333334
3236,3088,3097.03125,2025-09-09T15:54:45-05:00,299.2
3237,3202,3213.04663,2025-09-09T15:55:15-05:00,299.7
3238,3326,3335.39063,2025-09-09T15:55:45-05:00,300.2
3239,3453,3465.46899,2025-09-09T15:56:15-05:00,300.7
3240,3569,3580.07788,2025-09-09T15:56:45-05:00,301.2
3241,3691,3705.23437,2025-09-09T15:57:15-05:00,301.7
3242,3813,3823.35913,2025-09-09T15:57:45-05:00,302.2
3243,3938,3951.32837,2025-09-09T15:58:15-05:00,302.7
3244,4081,4101.09375,2025-09-09T15:58:45-05:00,303.2
3245,4245,4259.29687,2025-09-09T15:59:15-05:00,303.7
3246,4406,4419.60937,2025-09-09T15:59:45-05:00,304.2
3247,4536,4553.90625,2025-09-09T16:00:15-05:00,304.7
3248,4673,4682.57812,2025-09-09T16:00:45-05:00,305.2
3249,4821,4831.64062,2025-09-09T16:01:15-05:00,305.7
3250,4973,4988.4375,2025-09-09T16:01:45-05:00,306.2
3251,5123,5134.6875,2025-09-09T16:02:15-05:00,306.7
3252,5253,5265.46924,2025-09-09T16:02:45-05:00,307.2
3253,5383,5398.35937,2025-09-09T16:03:15-05:00,307.7
3254,5532,5545.3125,2025-09-09T16:03:45-05:00,308.2
3255,5688,5698.59375,2025-09-09T16:04:15-05:00,308.7
3256,5788,5790.70312,2025-09-09T16:04:45-05:00,309.2
